File Name,Total Tweets,Total Sentence,Total Words,Syllable,Meadin,Read Ability
@ADMcommunity_tweets,200,210,1615,3297,18.94,19.5
@amitchhangani_tweets,200,210,2165,3026,75.5,75.44
@AsianMartin_tweets,200,449,3059,4395,76.11,75.88
@askpatty_tweets,199,403,3300,4959,69.79,69.66
@aspibhathena_tweets,178,236,1746,2485,76.17,78.17
@auto123_tweets,200,203,1253,1731,87.33,84.56
@automobilemag_tweets,199,285,3736,5681,62.88,61.12
@CARandDRIVER_tweets,200,246,2074,2936,78.03,76.64
@carblogindia_tweets,200,296,3973,5638,68.39,69.39
@CarConnection_tweets,180,211,1655,2240,83.76,89.47
@cbaccus_tweets,194,390,2403,3340,80.06,79.52
@CyrusDhabhar_tweets,191,337,2661,3622,80.1,81.07
@drivespark_tweets,199,389,2312,3219,81.86,79.81
@gaadiwaadi_tweets,200,223,2132,2741,88.9,85.82
@Jalopnik_tweets,200,253,2407,3539,69.66,70.19
@Lijo_Mathai_tweets,199,328,2516,3468,78.79,78.74
@MyAutoReviewer_tweets,192,304,3010,4449,70.25,70.01
@NADAguides_tweets,200,276,2743,3944,74.96,74.09
@PriorityFord_tweets,200,250,3220,4409,76.0,75.3
@roshunpovaiah_tweets,200,375,2818,3958,78.53,77.23
@therealautoblog_tweets,200,235,2184,3403,59.74,63.53
@YC_Maverick_tweets,195,236,1892,3133,63.49,54.7
