File Name,Total Tweets,Total Sentence,Total Words,Syllable,Meadin,Read Ability
@_frommetoyou_tweets,1,1,3,5,62.79,62.79
@caughtinacuff_tweets,199,199,2838,4097,68.1,67.29
@InStyle_tweets,200,200,2863,4423,61.33,60.93
@IntoTheGloss_tweets,200,200,1835,2710,74.54,70.45
@kritikakhurana_tweets,189,189,2495,3481,72.62,78.56
@lapresmidi_tweets,195,195,2175,3105,77.91,76.01
@MensClothingTip_tweets,200,200,1703,2466,71.82,70.93
@MyFashionLife_tweets,198,198,1770,2558,78.25,74.2
@NylonMag_tweets,197,197,1833,2845,65.73,65.72
@stylebubble_tweets,199,199,4021,5465,72.33,70.05
@styledotcom_tweets,200,200,2380,3399,74.06,72.61
@tashiarablog_tweets,191,191,1762,2472,76.5,74.59
@themoment_tweets,103,103,849,1216,75.5,74.35
@TimesFAshion_tweets,200,200,2436,3568,72.07,70.67
@VogueParis_tweets,200,200,1999,3039,67.43,65.56
