File Name,Total Tweets,Total Sentence,Total Words,Syllable,Meadin,Read Ability
@1teaspoonlove_tweets,200,362,3648,5754,60.34,59.89
@andrewzimmern_tweets,200,381,3014,4344,78.44,76.32
@catcora_tweets,191,249,2852,4104,73.14,72.67
@cheebo77_tweets,196,251,1948,2803,76.27,75.06
@chefmariantandy_tweets,162,249,2189,3171,76.46,74.68
@Emeril_tweets,191,252,1964,3013,66.79,64.08
@foodie_woman__tweets,196,334,2310,3313,77.4,75.81
@GDeLaurentiis_tweets,191,255,2524,3830,66.4,67.77
@hungryladki_tweets,174,315,2462,3580,72.57,72.6
@jamie_oliver_tweets,2,2,32,58,37.26,37.26
@jeters_tweets,199,372,2346,3407,76.55,73.8
@mizmaggieb_tweets,200,372,4062,5003,90.94,88.14
@mohd_ridakhan_tweets,133,185,1535,2285,73.14,71.46
@MrTodiwalasLHR_tweets,200,271,2945,4558,64.39,63.54
@PipLacey_tweets,190,277,2481,3467,77.91,78.17
@RussellBateman_tweets,185,330,2363,3336,78.87,78.72
@sushiday_tweets,185,293,2781,3918,74.86,75.71
@TandurIndian_tweets,192,243,1923,2793,77.63,76.26
@the_neelys_tweets,145,317,2388,2957,89.9,92.23
@Zeelshah92_tweets,197,218,1787,3770,4.31,11.57
