File Name,Total Tweets,Total Sentence,Total Words,Syllable,Meadin,Read Ability
@akstanwyck_tweets,200,279,2475,3780,67.53,68.1
@Anuraghindu86_tweets,193,271,2497,3247,80.25,84.64
@ebertchicago_tweets,199,266,3182,5178,55.22,54.09
@gavmchugh_tweets,184,293,2597,3611,80.15,76.22
@GoodBadOfficial_tweets,197,474,2807,3665,81.42,85.22
@HCMovieReviews_tweets,170,234,2821,3862,76.97,78.26
@KeithandMovies_tweets,180,379,1921,2667,85.05,78.76
@melsil_tweets,195,311,2807,4264,65.73,65.2
@MovieReviewWrld_tweets,184,302,2146,3210,69.99,70.9
@PARMODSain4_tweets,200,668,2298,2152,120.16,123.0
@PlainSimpleTom_tweets,163,299,1502,2127,80.9,68.49
@realNipeshPatel_tweets,191,378,2206,2862,84.84,84.87
@sachinjangir23_tweets,196,524,3153,3034,120.21,110.29
@sacnilk_tweets,197,262,1422,1948,66.4,71.24
@SacnilkEntmt_tweets,200,298,1713,2444,66.4,62.7
@shining_twins_tweets,186,300,1974,2655,86.29,81.23
@slashfilm_tweets,200,212,2688,4078,65.73,64.47
@SmallFilmRater_tweets,197,413,3237,4700,76.03,73.14
@SubhashK_Jha_tweets,198,347,3016,4680,67.3,63.88
@taran_adarsh_tweets,198,576,2805,3455,83.89,90.66
