File Name,Total Tweets,Total Sentence,Total Words,Syllable,Meadin,Read Ability
@1000TimesYes_tweets,183,252,2353,3378,72.62,76.61
@Andrewprep_tweets,189,217,2480,3244,82.39,85.12
@Elliottwilson_tweets,174,257,1550,2017,90.97,93.17
@future_of_music_tweets,200,290,3172,5178,53.97,54.07
@gillespeterson_tweets,192,325,2397,3278,80.06,82.01
@hypem_tweets,200,238,2291,2871,92.51,90.17
@jesshopp_tweets,5,6,70,104,59.74,57.53
@JonnyLeather_tweets,187,217,1691,2281,83.32,80.72
@KumeraiFang_tweets,194,409,2303,2856,98.16,95.72
@largeheartedboy_tweets,197,259,3015,4474,64.66,67.81
@lizzyville_tweets,187,246,2316,3416,72.62,72.63
@maura_tweets,184,232,1673,2396,78.87,77.9
@mr96POP_tweets,197,317,3190,4391,76.75,77.16
@MusicFactsFun_tweets,200,309,3121,4207,83.38,78.79
@okitsRGS_tweets,192,224,2421,3184,80.78,78.58
@PopTarts_tweets,200,259,2292,2630,83.92,90.29
@ro_bot_dylan_tweets,200,304,3645,4668,84.49,83.48
@The_Recommender_tweets,200,402,3116,4517,76.86,75.54
@TheModeReviews_tweets,197,235,2465,3231,80.69,84.71
@truemreviews_tweets,195,314,2544,3597,81.42,78.13
@Varth__tweets,194,354,2089,2859,85.86,77.64
