File Name,Total Tweets,Total Sentence,Total Words,Syllable,Meadin,Read Ability
@ankionthemove_tweets,196,287,2638,3729,76.86,73.61
@Breathedreamgo_tweets,197,310,2226,3355,70.8,66.33
@Brendanvanson_tweets,199,383,2372,3311,80.1,78.2
@fernwehrahee_tweets,146,226,2204,3195,71.53,66.55
@flightview_tweets,200,329,2790,4499,61.05,59.08
@goherethere_tweets,184,245,2055,2956,75.15,71.4
@i_WanderingSoul_tweets,195,345,3226,4960,62.88,63.93
@Indian_yatri_tweets,157,258,2051,2948,76.82,77.65
@IndraniTweeets_tweets,193,253,3144,4662,68.07,67.38
@Intl_elle_tweets,198,271,2423,3605,72.96,67.42
@lakshmisharath_tweets,193,273,2123,3137,75.5,70.37
@LunaticAtLarge_tweets,200,293,3283,4668,72.62,72.57
@nomadicchick_tweets,200,200,1424,2180,72.62,65.09
@reidontravel_tweets,199,407,2450,3404,82.43,80.66
@RicketyRoads_tweets,189,310,2505,3850,66.4,66.98
@rniranjan_das_tweets,190,256,2859,4347,65.3,60.78
@sankaracs_tweets,188,266,3003,4390,68.69,68.74
@semwalonwheels_tweets,162,218,1719,2640,63.85,58.85
@shivya_tweets,195,293,3065,4754,63.61,63.16
@TravelEditor_tweets,179,263,1887,2799,72.49,69.8
@TravelwithSri_tweets,178,227,2098,2975,75.88,76.1
@YearmanHJ_tweets,189,246,2063,2943,76.59,75.5
